人間,human 
数字,numbers 
外国語,foreign language 
日本語 / 国語,Japanese [language] 
英語,English [language] 
中国語,Chinese [language] 
ドイツ語,German [language] 
スペイン語,Spanish [language] 
フランス語,French [language] 
朝鮮語 / 韓国語,"Korean [language], South Korean [language] "
本,book 
紙,paper 
手紙,letter 
新聞,newspaper 
辞書,dictionary 
色,color 
赤,red 
黄色,yellow 
緑,green 
青,blue 
紫,purple 
白,white 
黒,black 
茶色,brown 
灰色 / 鼠色,grey 
絵,picture 
音楽,music 
理科,science 
算数,arithmetic 
歴史,history 
地理,geography 
体育,physical education 
情報,"information, news "
必要,necessity 
勉強,study 
依頼,request 
ゼロ / 零,zero 
一,one 
二,two 
三,three 
四,four 
五,five 
六,six 
七,seven 
八,eight 
九,nine 
十,ten 
百,hundred 
千,thousand 
万,ten thousand 
億,one hundred million 
一つ,"one, one thing "
二つ,"two, two things "
三つ,"three, three things "
四つ,"four, four things "
五つ,"five, five things "
六つ,"six, six things "
七つ,"seven, seven things "
八つ,"eight, eight things "
九つ,"nine, nine things "
十,"ten, ten things "
秘密,secret 
自動,automatic 
内容,content 
幅,"width, breadth, free room, difference between two substances "
正式,formality 
結婚,marriage 
現在,now 
今,now 
過去,past 
未来,future 
良い,good 
凄い,amazing 
素晴らしい,wonderful 
悪い,"bad, inferior "
高い,"expensive, high "
低い,low 
安い,cheap 
大きい,big 
小さい,small 
細い,thin 
太い,thick 
古い,old 
新しい,new 
若い,young 
軽い,"light, easy "
重い,heavy 
易しい,"easy, simple "
難しい,difficult 
柔らかい,soft 
硬い / 堅い,hard 
熱い / 暑い,hot 
冷たい,cold 
寒い,cold 
美味しい,delicious 
美味い / 旨い,"delicious, appetizing "
不味い,tastes awful 
甘い,sweet 
辛い,hot [spicy] 
塩っぱい,salty 
苦い,bitter 
美しい,beautiful 
嬉しい,happy 
楽しい,fun 
悲しい,sad 
寂しい / 淋しい,lonely 
寂しい / 淋しい,"sad, lonely "
怖い / 恐い,scary 
痛い,painful 
痒い,itchy 
臭い,stinky 
辛い,"painful, heart-breaking "
起こる / 興る,to occur 
現れる,to appear 
生きる,to live 
生む / 産む,to give birth 
死ぬ,to die 
壊れる,to breakin 
行く,to go 
来る,to come 
帰る / 返る,to return 
歩く,to walk 
飛ぶ,"to jump, to fly "
泳ぐ,to swim 
動く,to movein 
踊る,to dance 
寝る,to sleep 
歌う,to sing 
噛む,to bite 
食べる,to eat 
飲む,to drink 
触る,to touch 
投げる,to throw 
持つ,to hold 
打つ,"to hit, to strike "
殴る,"to hit, to strike "
指す,to point 
刺す,to stab 
差す,to raise or extend one's hands 
蹴る,to kick 
座る,to sit 
立つ,to stand 
走る,to run 
空く,to become unoccupied 
込む,to be crowded 
要る,to need 
乾く,to become dry 
乱す,"to disturb, to disarrange "
乱れる,"to be disturbed, to become confused "
仕える,"to serve, to work for "
備わる,to be furnished with 
優れる,"to excel, to surpass "
冷える,"to grow cold, to get chilly, to cool down "
覚める,"to wake, to become sober, to be disillusioned "
冷める,to cool down 
向く,"to face, to turn toward "
倒れる,"to fall, to collapse "
固まる,"to harden, to solidify, to become firm "
埋まる,"to be filled, to be surrounded, to overflow "
埋もれる,"to be buried, to be covered "
増す,"to increase, to grow "
増える,"to increase, to multiply "
減る,to decrease 
外れる,to deviate 
太る,to grow fat 
始まる,to begin 
終わる,"to finish, to close "
決める,to decide 
見る,to see 
聞く / 聴く,"to hear, to listen "
触る,"to touch, to feel "
嗅ぐ,to smell 
言う,to say 
話す,to speak 
語る,to tell 
書く,to write 
読む,to read 
使う,to use 
作る / 造る / 創る,to make 
直す / 治す,"to fix, repair "
捨てる,"to discard, throw away "
取る / 撮る / 採る,to take 
置く,to put 
悲しむ / 哀しむ,to be sad 
泣く,to cry 
笑う,to laugh 
怒る,to be angry 
褒める,to encourage 
叱る,to scold 
喜ぶ,"to celebrate, to be jubilant, to have joy, to have delight, to have rapture "
喜び,"joy, delight, rapture "
慰める,"to console, to consolate, to provide empathy "
飽きる,"to be disinterested, to be bored, to be tired of, to be weary "
驚く,"to be astonished, to be surprised, to be scared "
会う,"to meet, to interview "
開ける,"to opentr, to unwraptr "
遊ぶ,to play 
集まる,to gatherin 
売る,to sell 
得る,to obtain [some benefit or knowledge] 
折る,"to breaktr, to foldtr "
買う,to buy 
切る,to cut 
着る,to wear [on the upper body] 
履く,to wear [on the lower body] 
変える,to changetr 
代える,"to exchange, to substitute, to replace "
閉める,to closetr 
締める,"to tie, to fasten "
占める,"to comprise, to account for "
知る,to know 
疲れる,to get tired 
出掛ける,"to go out, to depart "
働く,"to work [e.g., at a job] "
放す / 離す,to let go of 
休む,"to rest, to take a break, to go to bed "
分かれる,"to split intoin, to be divided "
別れる,"to partin, to separatein, to break upin "
及び,and; as well as 
